season,team,rank_change,fpi_change,record_before,fpi_before,rank_before,trend_before,wayback_timestamp_before,conference_before,record_after,fpi_after,rank_after,trend_after,wayback_timestamp_after,conference_after
2022,Pittsburgh Panthers,-6,-0.5999999999999996,0-0,11.2,19,0,20220901143719,ACC,1-0,10.6,25,0,20220906040030,ACC
2022,Temple Owls,-6,-4.600000000000001,0-0,-14.2,119,0,20220901143719,American,0-1,-18.8,125,0,20220906040030,American
2022,Utah Utes,-6,-0.7000000000000011,0-0,12.9,13,0,20220901143719,Pac-12,0-1,12.2,19,0,20220906040030,Pac-12
2023,Arkansas Razorbacks,-7,-1.700000000000001,0-0,9.3,28,0,20230830055751,SEC,1-0,7.6,35,7,20230905092550,SEC
2023,Louisiana Ragin' Cajuns,-7,-2.0999999999999996,0-0,-4,79,1,20230830055751,Sun Belt,1-0,-6.1,86,6,20230905092550,Sun Belt
2022,Rice Owls,-7,-5,0-0,-14.7,121,0,20220901143719,C-USA,0-1,-19.7,128,0,20220906040030,C-USA
2023,Wake Forest Demon Deacons,-7,-2.1999999999999997,0-0,4.8,47,0,20230830055751,ACC,1-0,2.6,54,7,20230905092550,ACC
2023,Florida Gators,-8,-1.200000000000001,0-0,9.9,25,0,20230830055751,SEC,0-1,8.7,33,8,20230905092550,SEC
2022,Louisiana Ragin' Cajuns,-8,-1.6,0-0,-1.6,76,0,20220901143719,Sun Belt,1-0,-3.2,84,0,20220906040030,Sun Belt
2021,Ohio Bobcats,-8,-4.300000000000001,0-0,-10.7,109,3,20210904141614,MAC,0-1,-15,117,5,20210908031230,MAC
2022,Oklahoma State Cowboys,-8,-0.9000000000000004,0-0,12.8,14,0,20220901143719,Big 12,1-0,11.9,22,0,20220906040030,Big 12
2023,Oklahoma State Cowboys,-8,-3,0-0,6.8,42,0,20230830055751,Big 12,1-0,3.8,50,8,20230905092550,Big 12
2022,San José State Spartans,-8,-3.4000000000000004,0-0,-8.9,105,0,20220901143719,Mountain West,1-0,-12.3,113,0,20220906040030,Mountain West
2021,Temple Owls,-8,-5.9,0-0,-11.4,112,2,20210904141614,American,0-1,-17.3,120,6,20210908031230,American
2021,Toledo Rockets,-8,-1.7,0-0,1.4,62,1,20210904141614,MAC,1-0,-0.3,70,9,20210908031230,MAC
2022,Utah State Aggies,-8,-2.4000000000000004,1-0,-5.6,94,0,20220901143719,Mountain West,1-1,-8,102,0,20220906040030,Mountain West
2022,Washington State Cougars,-8,-3,0-0,-2,81,0,20220901143719,Pac-12,1-0,-5,89,0,20220906040030,Pac-12
2021,California Golden Bears,-9,-2.4000000000000004,0-0,-0.7,70,1,20210904141614,Pac-12,0-1,-3.1,79,10,20210908031230,Pac-12
2022,Colorado Buffaloes,-9,-3.2,0-0,-3.3,87,0,20220901143719,Pac-12,0-1,-6.5,96,0,20220906040030,Pac-12
2023,Colorado State Rams,-9,-4.300000000000001,0-0,-11,119,1,20230830055751,Mountain West,0-1,-15.3,128,8,20230905092550,Mountain West
2023,Georgia State Panthers,-9,-2.999999999999999,0-0,-6.2,92,0,20230830055751,Sun Belt,1-0,-9.2,101,9,20230905092550,Sun Belt
2021,Georgia Tech Yellow Jackets,-9,-2.2,0-0,2,60,1,20210904141614,ACC,0-1,-0.2,69,10,20210908031230,ACC
2021,LSU Tigers,-9,-1.6999999999999993,0-0,11.6,15,1,20210904141614,SEC,0-1,9.9,24,8,20210908031230,SEC
2022,NC State Wolfpack,-9,-1.8999999999999995,0-0,9.6,27,0,20220901143719,ACC,1-0,7.7,36,0,20220906040030,ACC
2022,Nebraska Cornhuskers,-9,-1.7999999999999998,0-1,6.2,40,0,20220901143719,Big Ten,1-1,4.4,49,0,20220906040030,Big Ten
2022,North Carolina Tar Heels,-9,-1.2999999999999998,1-0,8.5,30,0,20220901143719,ACC,2-0,7.2,39,0,20220906040030,ACC
2021,San Diego State Aztecs,-9,-2.3,0-0,-1.7,74,1,20210904141614,Mountain West,1-0,-4,83,10,20210908031230,Mountain West
2022,Texas A&M Aggies,-9,-1.1999999999999993,0-0,13.1,12,0,20220901143719,SEC,1-0,11.9,21,0,20220906040030,SEC
2022,Texas State Bobcats,-9,-3.8000000000000007,0-0,-9.7,109,0,20220901143719,Sun Belt,0-1,-13.5,118,0,20220906040030,Sun Belt
2022,Toledo Rockets,-9,-1.8,0-0,-1.7,77,0,20220901143719,MAC,1-0,-3.5,86,0,20220906040030,MAC
2022,Virginia Cavaliers,-9,-2.1999999999999997,0-0,2.3,56,0,20220901143719,ACC,1-0,0.1,65,0,20220906040030,ACC
2021,Washington State Cougars,-9,-2.9000000000000004,0-0,-0.8,72,2,20210904141614,Pac-12,0-1,-3.7,81,11,20210908031230,Pac-12
2021,Wisconsin Badgers,-9,-1.5,0-0,11.8,14,1,20210904141614,Big Ten,0-1,10.3,23,8,20210908031230,Big Ten
2023,Boston College Eagles,-10,-2.6,0-0,-3.6,77,1,20230830055751,ACC,0-1,-6.2,87,9,20230905092550,ACC
2021,Iowa State Cyclones,-10,-4.699999999999999,0-0,16,9,0,20210904141614,Big 12,1-0,11.3,19,10,20210908031230,Big 12
2021,Liberty Flames,-10,-2.4,0-0,-2.4,77,0,20210904141614,FBS Indep.,1-0,-4.8,87,10,20210908031230,FBS Indep.
2023,Purdue Boilermakers,-10,-3,0-0,3.4,51,0,20230830055751,Big Ten,0-1,0.4,61,10,20230905092550,Big Ten
2023,Troy Trojans,-10,-1.9000000000000004,0-0,-3,71,0,20230830055751,Sun Belt,1-0,-4.9,81,10,20230905092550,Sun Belt
2022,Virginia Tech Hokies,-10,-1.7999999999999998,0-0,-1.5,75,0,20220901143719,ACC,0-1,-3.3,85,0,20220906040030,ACC
2021,West Virginia Mountaineers,-10,-1.1999999999999997,0-0,4.1,45,1,20210904141614,Big 12,0-1,2.9,55,9,20210908031230,Big 12
2023,Appalachian State Mountaineers,-11,-3,0-0,-4,80,1,20230830055751,Sun Belt,1-0,-7,91,10,20230905092550,Sun Belt
2022,Boise State Broncos,-11,-2.3000000000000003,0-0,4.7,47,0,20220901143719,Mountain West,0-1,2.4,58,0,20220906040030,Mountain West
2023,LSU Tigers,-11,-5.199999999999999,0-0,21.5,4,0,20230830055751,SEC,0-1,16.3,15,11,20230905092550,SEC
2022,Memphis Tigers,-11,-2.8,0-0,3,53,0,20220901143719,American,0-1,0.2,64,0,20220906040030,American
2021,Miami (OH) RedHawks,-11,-3.3,0-0,-7.8,97,0,20210904141614,MAC,0-1,-11.1,108,11,20210908031230,MAC
2022,Northern Illinois Huskies,-11,-3.700000000000001,0-0,-9.6,106,0,20220901143719,MAC,1-0,-13.3,117,0,20220906040030,MAC
2023,Northwestern Wildcats,-11,-2.9000000000000004,0-0,-0.3,65,0,20230830055751,Big Ten,0-1,-3.2,76,11,20230905092550,Big Ten
2021,Southern Miss Golden Eagles,-11,-5,0-0,-9.4,105,3,20210904141614,Sun Belt,0-1,-14.4,116,8,20210908031230,Sun Belt
2021,Wyoming Cowboys,-11,-2.2,0-0,-4.5,86,0,20210904141614,Mountain West,1-0,-6.7,97,11,20210908031230,Mountain West
2022,Army Black Knights,-12,-1.9,0-0,1.3,62,0,20220901143719,FBS Indep.,0-1,-0.6,74,0,20220906040030,FBS Indep.
2022,Boston College Eagles,-12,-1.7999999999999998,0-0,1.4,60,0,20220901143719,ACC,0-1,-0.4,72,0,20220906040030,ACC
2021,Houston Cougars,-12,-3.1999999999999997,0-0,0.9,65,0,20210904141614,American,0-1,-2.3,77,12,20210908031230,American
2023,Texas Tech Red Raiders,-12,-2.6000000000000014,0-0,11.3,20,0,20230830055751,Big 12,0-1,8.7,32,12,20230905092550,Big 12
2021,BYU Cougars,-13,-1.2999999999999998,0-0,3.8,47,1,20210904141614,FBS Indep.,1-0,2.5,60,12,20210908031230,FBS Indep.
2022,Louisiana Tech Bulldogs,-13,-3.1999999999999993,0-0,-5,91,0,20220901143719,C-USA,0-1,-8.2,104,0,20220906040030,C-USA
2022,Navy Midshipmen,-13,-4.799999999999999,0-0,-8.3,103,0,20220901143719,American,0-1,-13.1,116,0,20220906040030,American
2023,South Carolina Gamecocks,-13,-2.4000000000000004,0-0,7.7,33,0,20230830055751,SEC,0-1,5.3,46,13,20230905092550,SEC
2022,Florida Atlantic Owls,-14,-2.7,1-0,0.1,66,0,20220901143719,C-USA,1-1,-2.6,80,0,20220906040030,C-USA
2021,Louisville Cardinals,-14,-2.5,0-0,3.1,54,1,20210904141614,ACC,0-1,0.6,68,15,20210908031230,ACC
2023,Marshall Thundering Herd,-14,-3.9,0-0,1.4,60,0,20230830055751,Sun Belt,1-0,-2.5,74,14,20230905092550,Sun Belt
2021,Vanderbilt Commodores,-14,-8.500000000000002,0-0,-10.1,108,3,20210904141614,SEC,0-1,-18.6,122,11,20210908031230,SEC
2023,San Diego State Aztecs,-15,-4,1-0,-5.5,88,2,20230830055751,Mountain West,2-0,-9.5,103,13,20230905092550,Mountain West
