season,team,rank_change,fpi_change,record_before,fpi_before,rank_before,trend_before,wayback_timestamp_before,conference_before,record_after,fpi_after,rank_after,trend_after,wayback_timestamp_after,conference_after
2023,Auburn Tigers,10,4.1,0-0,8,32,0,20230830055751,SEC,1-0,12.1,22,10,20230905092550,SEC
2023,Georgia Southern Eagles,10,1.2000000000000002,0-0,-5.8,90,1,20230830055751,Sun Belt,1-0,-4.6,80,11,20230905092550,Sun Belt
2022,Mississippi State Bulldogs,10,3.3000000000000007,0-0,10.5,23,0,20220901143719,SEC,1-0,13.8,13,0,20220906040030,SEC
2022,Nevada Wolf Pack,10,2.5,1-0,-7.8,101,0,20220901143719,Mountain West,2-0,-5.3,91,0,20220906040030,Mountain West
2021,Ole Miss Rebels,10,2.8000000000000007,0-0,10.1,22,2,20210904141614,SEC,1-0,12.9,12,8,20210908031230,SEC
2023,Rutgers Scarlet Knights,10,3,0-0,-3.3,75,1,20230830055751,Big Ten,1-0,-0.3,65,11,20230905092550,Big Ten
2023,UConn Huskies,10,0.7000000000000011,0-0,-10.8,117,1,20230830055751,FBS Indep.,0-1,-10.1,107,11,20230905092550,FBS Indep.
2021,Utah State Aggies,10,3.1000000000000005,0-0,-10.8,110,3,20210904141614,Mountain West,1-0,-7.7,100,13,20210908031230,Mountain West
2022,Central Michigan Chippewas,9,1.8999999999999995,0-0,-6.8,96,0,20220901143719,MAC,0-1,-4.9,87,0,20220906040030,MAC
2023,Fresno State Bulldogs,9,3.4000000000000004,0-0,-3.2,73,1,20230830055751,Mountain West,1-0,0.2,64,10,20230905092550,Mountain West
2022,Ohio Bobcats,9,2.9000000000000004,0-0,-14.4,120,0,20220901143719,MAC,1-0,-11.5,111,0,20220906040030,MAC
2022,Georgia Southern Eagles,8,2.0999999999999996,0-0,-8,102,0,20220901143719,Sun Belt,1-0,-5.9,94,0,20220906040030,Sun Belt
2021,Northern Illinois Huskies,8,2.4000000000000004,0-0,-8.4,101,1,20210904141614,MAC,1-0,-6,93,9,20210908031230,MAC
2022,Rutgers Scarlet Knights,8,1.7,0-0,-3,85,0,20220901143719,Big Ten,1-0,-1.3,77,0,20220906040030,Big Ten
2021,Texas Tech Red Raiders,8,2.8999999999999995,0-0,6.2,36,0,20210904141614,Big 12,1-0,9.1,28,8,20210908031230,Big 12
2022,Washington Huskies,8,2,0-0,4.7,48,0,20220901143719,Pac-12,1-0,6.7,40,0,20220906040030,Pac-12
2023,Western Kentucky Hilltoppers,8,1.9,0-0,-3.8,78,1,20230830055751,CUSA,1-0,-1.9,70,9,20230905092550,CUSA
2023,Georgia Tech Yellow Jackets,7,1.6,0-0,-0.6,66,0,20230830055751,ACC,0-1,1,59,7,20230905092550,ACC
2023,Maryland Terrapins,7,1,0-0,5.7,46,0,20230830055751,Big Ten,1-0,6.7,39,7,20230905092550,Big Ten
2023,Oklahoma Sooners,7,6.300000000000001,0-0,16.7,11,0,20230830055751,Big 12,1-0,23,4,7,20230905092550,Big 12
2022,Oregon State Beavers,7,2.1999999999999997,0-0,1.9,58,0,20220901143719,Pac-12,1-0,4.1,51,0,20220906040030,Pac-12
2021,Pittsburgh Panthers,7,1.8000000000000007,0-0,7.5,34,2,20210904141614,ACC,1-0,9.3,27,5,20210908031230,ACC
2023,Rice Owls,7,1.0999999999999996,0-0,-8.7,104,0,20230830055751,American,0-1,-7.6,97,7,20230905092550,American
2022,UConn Huskies,7,2.1000000000000014,0-1,-18.3,129,0,20220901143719,FBS Indep.,1-1,-16.2,122,0,20220906040030,FBS Indep.
2021,UTSA Roadrunners,7,2.5,0-0,-3.7,81,2,20210904141614,C-USA,1-0,-1.2,74,9,20210908031230,C-USA
2022,Wyoming Cowboys,7,0.5999999999999996,0-1,-12,117,0,20220901143719,Mountain West,1-1,-11.4,110,0,20220906040030,Mountain West
2021,Auburn Tigers,6,2.8000000000000007,0-0,11.6,16,1,20210904141614,SEC,1-0,14.4,10,7,20210908031230,SEC
2021,Florida State Seminoles,6,1.8000000000000007,0-0,5.6,37,1,20210904141614,ACC,0-1,7.4,31,7,20210908031230,ACC
2022,Fresno State Bulldogs,6,1,0-0,-1,72,0,20220901143719,Mountain West,1-0,-0,66,0,20220906040030,Mountain West
2023,Indiana Hoosiers,6,1.5999999999999999,0-0,-1.4,69,0,20230830055751,Big Ten,0-1,0.2,63,6,20230905092550,Big Ten
2021,Kentucky Wildcats,6,1.4000000000000004,0-0,5.6,39,0,20210904141614,SEC,1-0,7,33,6,20210908031230,SEC
2022,Marshall Thundering Herd,6,1.9000000000000001,0-0,1.7,59,0,20220901143719,Sun Belt,1-0,3.6,53,0,20220906040030,Sun Belt
2022,Minnesota Golden Gophers,6,1.6000000000000005,0-0,6.7,39,0,20220901143719,Big Ten,1-0,8.3,33,0,20220906040030,Big Ten
2023,Oregon State Beavers,6,2.6999999999999993,0-0,8.9,30,0,20230830055751,Pac-12,1-0,11.6,24,6,20230905092550,Pac-12
2023,UL Monroe Warhawks,6,1,0-0,-15.2,129,0,20230830055751,Sun Belt,1-0,-14.2,123,6,20230905092550,Sun Belt
2021,Virginia Cavaliers,6,1.7000000000000002,0-0,4.7,42,3,20210904141614,ACC,1-0,6.4,36,9,20210908031230,ACC
2023,Washington Huskies,6,4.799999999999999,0-0,10.3,23,0,20230830055751,Pac-12,1-0,15.1,17,6,20230905092550,Pac-12
2021,Florida International Panthers,5,0.09999999999999964,1-0,-11,111,5,20210904141614,C-USA,1-0,-10.9,106,10,20210908031230,C-USA
2023,Florida State Seminoles,5,5,0-0,14.8,14,0,20230830055751,ACC,1-0,19.8,9,5,20230905092550,ACC
2021,Kansas Jayhawks,5,0,1-0,-14.2,120,3,20210904141614,Big 12,1-0,-14.2,115,2,20210908031230,Big 12
2023,Navy Midshipmen,5,0.1999999999999993,0-1,-11.5,120,15,20230830055751,American,0-1,-11.3,115,10,20230905092550,American
2021,Nebraska Cornhuskers,5,0.5,0-1,3,55,12,20210904141614,Big Ten,1-1,3.5,50,7,20210908031230,Big Ten
2023,SMU Mustangs,5,1.1000000000000005,0-0,4.3,50,0,20230830055751,American,1-0,5.4,45,5,20230905092550,American
2023,Sam Houston Bearkats,5,0,0-0,-13.2,123,0,20230830055751,CUSA,0-1,-13.2,118,5,20230905092550,CUSA
2021,South Carolina Gamecocks,5,1.5,0-0,1.1,63,1,20210904141614,SEC,1-0,2.6,58,4,20210908031230,SEC
2023,Stanford Cardinal,5,2.0999999999999996,0-0,-3.3,74,1,20230830055751,Pac-12,1-0,-1.2,69,6,20230905092550,Pac-12
2023,Tulane Green Wave,5,1.5,0-0,2.3,54,0,20230830055751,American,1-0,3.8,49,5,20230905092550,American
2021,UCLA Bruins,5,1.6000000000000014,1-0,8.2,30,10,20210904141614,Pac-12,2-0,9.8,25,15,20210908031230,Pac-12
2023,UTEP Miners,5,-0.1999999999999993,0-1,-13.4,125,0,20230830055751,CUSA,1-1,-13.6,120,5,20230905092550,CUSA
2023,Air Force Falcons,4,-0.09999999999999964,0-0,-5,86,0,20230830055751,Mountain West,1-0,-5.1,82,4,20230905092550,Mountain West
2023,Coastal Carolina Chanticleers,4,0.20000000000000018,0-0,-4.3,82,0,20230830055751,Sun Belt,0-1,-4.1,78,4,20230905092550,Sun Belt
2022,Florida Gators,4,1.299999999999999,0-0,9.3,28,0,20220901143719,SEC,1-0,10.6,24,0,20220906040030,SEC
2021,Fresno State Bulldogs,4,1.7000000000000002,1-0,0.5,67,15,20210904141614,Mountain West,1-1,2.2,63,19,20210908031230,Mountain West
2023,Liberty Flames,4,0.20000000000000018,0-0,-7.7,99,1,20230830055751,CUSA,1-0,-7.5,95,3,20230905092550,CUSA
2023,Louisiana Tech Bulldogs,4,-1.0999999999999996,1-0,-11.5,121,0,20230830055751,CUSA,1-1,-12.6,117,4,20230905092550,CUSA
2022,Old Dominion Monarchs,4,0.5,0-0,-9.7,110,0,20220901143719,Sun Belt,1-0,-9.2,106,0,20220906040030,Sun Belt
2023,Old Dominion Monarchs,4,0,0-0,-14.1,126,0,20230830055751,Sun Belt,0-1,-14.1,122,4,20230905092550,Sun Belt
2021,Rice Owls,4,0.3999999999999986,0-0,-12.7,116,2,20210904141614,C-USA,0-1,-12.3,112,6,20210908031230,C-USA
2021,Texas Longhorns,4,0.5999999999999996,0-0,15.3,11,0,20210904141614,Big 12,1-0,15.9,7,4,20210908031230,Big 12
2022,Tulane Green Wave,4,1.3,0-0,-0,67,0,20220901143719,American,1-0,1.3,63,0,20220906040030,American
2023,USC Trojans,4,2.5,1-0,18.3,9,1,20230830055751,Pac-12,2-0,20.8,5,3,20230905092550,Pac-12
2022,UTEP Miners,4,-0.5,0-1,-15.3,123,0,20220901143719,C-USA,0-2,-15.8,119,0,20220906040030,C-USA
2023,Western Michigan Broncos,4,-0.3000000000000007,0-0,-10,114,0,20230830055751,MAC,1-0,-10.3,110,4,20230905092550,MAC
2021,Ball State Cardinals,3,0,1-0,-5.8,94,22,20210904141614,MAC,1-0,-5.8,91,19,20210908031230,MAC
2023,Ball State Cardinals,3,-0.7000000000000011,0-0,-9.6,112,0,20230830055751,MAC,0-1,-10.3,109,3,20230905092550,MAC
2023,Buffalo Bulls,3,0.10000000000000053,0-0,-7.4,96,1,20230830055751,MAC,0-1,-7.3,93,2,20230905092550,MAC
2021,Central Michigan Chippewas,3,0.7,0-0,-2.5,78,0,20210904141614,MAC,0-1,-1.8,75,3,20210908031230,MAC
2021,Charlotte 49ers,3,0,1-0,-11.7,114,1,20210904141614,C-USA,1-0,-11.7,111,4,20210908031230,C-USA
2021,Colorado State Rams,3,-0.09999999999999964,0-1,-12.8,117,11,20210904141614,Mountain West,0-1,-12.9,114,8,20210908031230,Mountain West
2021,Florida Atlantic Owls,3,0.6000000000000005,0-0,-4.4,85,0,20210904141614,C-USA,0-1,-3.8,82,3,20210908031230,C-USA
2021,Hawai'i Rainbow Warriors,3,0.1999999999999993,0-1,-11.6,113,12,20210904141614,Mountain West,1-1,-11.4,110,9,20210908031230,Mountain West
2022,Indiana Hoosiers,3,0.6000000000000001,0-0,-0.8,71,0,20220901143719,Big Ten,1-0,-0.2,68,0,20220906040030,Big Ten
2023,Memphis Tigers,3,0.10000000000000009,0-0,1.2,61,0,20230830055751,American,1-0,1.3,58,3,20230905092550,American
2023,Michigan State Spartans,3,0.6999999999999993,0-0,7.4,37,0,20230830055751,Big Ten,1-0,8.1,34,3,20230905092550,Big Ten
2023,Southern Miss Golden Eagles,3,-0.09999999999999964,0-0,-7.4,97,1,20230830055751,Sun Belt,1-0,-7.5,94,2,20230905092550,Sun Belt
2022,UCLA Bruins,3,1.0999999999999996,0-0,6.9,38,0,20220901143719,Pac-12,1-0,8,35,0,20220906040030,Pac-12
2022,UL Monroe Warhawks,3,-0.7999999999999972,0-0,-17.6,127,0,20220901143719,Sun Belt,0-1,-18.4,124,0,20220906040030,Sun Belt
2021,UNLV Rebels,3,0,0-1,-16.4,122,2,20210904141614,Mountain West,0-1,-16.4,119,1,20210908031230,Mountain West
2023,Akron Zips,2,1.1999999999999993,0-0,-17,132,0,20230830055751,MAC,0-1,-15.8,130,2,20230905092550,MAC
2022,Arizona State Sun Devils,2,0.6000000000000005,0-0,3.8,50,0,20220901143719,Pac-12,1-0,4.4,48,0,20220906040030,Pac-12
2023,Bowling Green Falcons,2,-0.5999999999999996,0-0,-14.6,128,1,20230830055751,MAC,0-1,-15.2,126,1,20230905092550,MAC
2023,Duke Blue Devils,2,0,0-0,1.5,59,0,20230830055751,ACC,0-0,1.5,57,2,20230905092550,ACC
2021,Florida Gators,2,-0.10000000000000142,0-0,15.8,10,0,20210904141614,SEC,1-0,15.7,8,2,20210908031230,SEC
2022,Kansas State Wildcats,2,0.5,0-0,6.1,43,0,20220901143719,Big 12,1-0,6.6,41,0,20220906040030,Big 12
2023,Mississippi State Bulldogs,2,1.8000000000000007,0-0,8.2,31,0,20230830055751,SEC,1-0,10,29,2,20230905092550,SEC
2023,Nebraska Cornhuskers,2,0.5,0-0,2.8,53,0,20230830055751,Big Ten,0-1,3.3,51,2,20230905092550,Big Ten
2021,New Mexico Lobos,2,-0.09999999999999787,1-0,-17.3,123,2,20210904141614,Mountain West,1-0,-17.4,121,0,20210908031230,Mountain West
2023,Ole Miss Rebels,2,3.8000000000000007,0-0,13.5,16,0,20230830055751,SEC,1-0,17.3,14,2,20230905092550,SEC
2021,Penn State Nittany Lions,2,1.5,0-0,12.5,13,1,20210904141614,Big Ten,1-0,14,11,3,20210908031230,Big Ten
2021,South Florida Bulls,2,0,0-1,-12.3,115,19,20210904141614,American,0-1,-12.3,113,17,20210908031230,American
2022,Stanford Cardinal,2,0.7,0-0,1,63,0,20220901143719,Pac-12,1-0,1.7,61,0,20220906040030,Pac-12
2023,Tennessee Volunteers,2,3.8000000000000007,0-0,14.3,15,0,20230830055751,SEC,1-0,18.1,13,2,20230905092550,SEC
2023,Toledo Rockets,2,1.7,0-0,-2.5,70,0,20230830055751,MAC,0-1,-0.8,68,2,20230905092550,MAC
2021,UCF Knights,2,0,1-0,4.3,44,2,20210904141614,American,1-0,4.3,42,0,20210908031230,American
2022,Wisconsin Badgers,2,1.200000000000001,0-0,11.1,20,0,20220901143719,Big Ten,1-0,12.3,18,0,20220906040030,Big Ten
2023,Alabama Crimson Tide,1,1.5,0-0,28.7,2,0,20230830055751,SEC,1-0,30.2,1,1,20230905092550,SEC
2021,Arizona Wildcats,1,1.2999999999999998,0-0,-8,99,1,20210904141614,Pac-12,0-1,-6.7,98,0,20210908031230,Pac-12
2021,Arkansas Razorbacks,1,-0.7000000000000002,0-0,7.9,33,2,20210904141614,SEC,1-0,7.2,32,1,20210908031230,SEC
2021,Arkansas State Red Wolves,1,0.20000000000000018,0-0,-5.2,90,0,20210904141614,Sun Belt,1-0,-5,89,1,20210908031230,Sun Belt
2021,Bowling Green Falcons,1,0,0-1,-23.6,127,1,20210904141614,MAC,0-1,-23.6,126,2,20210908031230,MAC
2022,Bowling Green Falcons,1,-1.3000000000000007,0-0,-16.9,124,0,20220901143719,MAC,0-1,-18.2,123,0,20220906040030,MAC
2021,Buffalo Bulls,1,0.19999999999999973,1-0,2.6,57,14,20210904141614,MAC,1-0,2.8,56,15,20210908031230,MAC
2023,Central Michigan Chippewas,1,-0.8999999999999986,0-0,-9.3,109,1,20230830055751,MAC,0-1,-10.2,108,2,20230905092550,MAC
2021,Eastern Michigan Eagles,1,0.09999999999999964,1-0,-6.5,96,3,20210904141614,MAC,1-0,-6.4,95,2,20210908031230,MAC
2022,Georgia Bulldogs,1,1.3999999999999986,0-0,28,3,0,20220901143719,SEC,1-0,29.4,2,0,20220906040030,SEC
2023,Houston Cougars,1,0,0-0,1.6,57,0,20230830055751,Big 12,1-0,1.6,56,1,20230905092550,Big 12
2023,James Madison Dukes,1,-0.9000000000000004,0-0,-4.8,85,0,20230830055751,Sun Belt,1-0,-5.7,84,1,20230905092550,Sun Belt
2023,Kansas State Wildcats,1,1.5,0-0,9.7,26,0,20230830055751,Big 12,1-0,11.2,25,1,20230905092550,Big 12
2021,Kent State Golden Flashes,1,-0.5,0-0,-8.6,104,1,20210904141614,MAC,0-1,-9.1,103,2,20210908031230,MAC
2022,Kent State Golden Flashes,1,-1.4000000000000004,0-0,-10.4,113,0,20220901143719,MAC,0-1,-11.8,112,0,20220906040030,MAC
2023,Louisville Cardinals,1,-0.5,0-0,6.8,43,0,20230830055751,ACC,1-0,6.3,42,1,20230905092550,ACC
2023,Miami Hurricanes,1,1.9000000000000004,0-0,10.7,21,0,20230830055751,ACC,1-0,12.6,20,1,20230905092550,ACC
2022,Michigan Wolverines,1,2.3000000000000007,0-0,16.8,6,0,20220901143719,Big Ten,1-0,19.1,5,0,20220906040030,Big Ten
2023,Minnesota Golden Gophers,1,-0.7999999999999998,0-0,6.6,44,0,20230830055751,Big Ten,1-0,5.8,43,1,20230905092550,Big Ten
2021,New Mexico State Aggies,1,2.8000000000000007,0-1,-30.7,130,0,20210904141614,FBS Indep.,0-2,-27.9,129,1,20210908031230,FBS Indep.
2022,New Mexico State Aggies,1,-0.6000000000000014,0-1,-21.4,131,0,20220901143719,FBS Indep.,0-2,-22,130,0,20220906040030,FBS Indep.
2023,North Carolina Tar Heels,1,1.9000000000000004,0-0,10.4,22,0,20230830055751,ACC,1-0,12.3,21,1,20230905092550,ACC
2023,Notre Dame Fighting Irish,1,0,1-0,20.5,7,3,20230830055751,FBS Indep.,2-0,20.5,6,4,20230905092550,FBS Indep.
2021,Ohio State Buckeyes,1,0,1-0,23.2,4,0,20210904141614,Big Ten,1-0,23.2,3,1,20210908031230,Big Ten
2021,Old Dominion Monarchs,1,0,0-1,-23,126,1,20210904141614,Sun Belt,0-1,-23,125,2,20210908031230,Sun Belt
2023,Oregon Ducks,1,3.700000000000001,0-0,15.1,13,0,20230830055751,Pac-12,1-0,18.8,12,1,20230905092550,Pac-12
2023,Pittsburgh Panthers,1,1.299999999999999,0-0,8.9,29,0,20230830055751,ACC,1-0,10.2,28,1,20230905092550,ACC
2021,Tennessee Volunteers,1,0,1-0,3.3,52,3,20210904141614,SEC,1-0,3.3,51,4,20210908031230,SEC
2022,UCF Knights,1,0.9000000000000004,0-0,8.1,31,0,20220901143719,American,1-0,9,30,0,20220906040030,American
2021,UL Monroe Warhawks,1,-1.6000000000000014,0-0,-19,124,0,20210904141614,Sun Belt,0-1,-20.6,123,1,20210908031230,Sun Belt
2021,UMass Minutemen,1,-1.2999999999999972,0-0,-23.6,128,1,20210904141614,FBS Indep.,0-1,-24.9,127,2,20210908031230,FBS Indep.
2022,UMass Minutemen,1,-1.6000000000000014,0-0,-18.7,130,0,20220901143719,FBS Indep.,0-1,-20.3,129,0,20220906040030,FBS Indep.
2022,UNLV Rebels,1,0,1-0,-9.6,108,0,20220901143719,Mountain West,1-0,-9.6,107,0,20220906040030,Mountain West
2021,UTEP Miners,1,-1.8000000000000007,1-0,-13.7,119,4,20210904141614,C-USA,2-0,-15.5,118,5,20210908031230,C-USA
2021,Utah Utes,1,0,1-0,8.2,31,4,20210904141614,Pac-12,1-0,8.2,30,3,20210908031230,Pac-12
2021,Alabama Crimson Tide,0,2.900000000000002,0-0,27.4,1,0,20210904141614,SEC,1-0,30.3,1,0,20210908031230,SEC
2022,Alabama Crimson Tide,0,2.5,0-0,29,1,0,20220901143719,SEC,1-0,31.5,1,0,20220906040030,SEC
2021,Appalachian State Mountaineers,0,0,1-0,6.6,35,1,20210904141614,Sun Belt,1-0,6.6,35,1,20210908031230,Sun Belt
2021,Baylor Bears,0,-0.10000000000000053,0-0,4.9,41,3,20210904141614,Big 12,1-0,4.8,41,3,20210908031230,Big 12
2021,Clemson Tigers,0,-3.5,0-0,26.8,2,0,20210904141614,ACC,0-1,23.3,2,0,20210908031230,ACC
2022,Clemson Tigers,0,0,0-0,22.8,4,0,20220901143719,ACC,0-0,22.8,4,0,20220906040030,ACC
2023,Clemson Tigers,0,0,0-0,20.3,8,1,20230830055751,ACC,0-0,20.3,8,1,20230905092550,ACC
2022,Eastern Michigan Eagles,0,-2,0-0,-10.6,114,0,20220901143719,MAC,1-0,-12.6,114,0,20220906040030,MAC
2023,Florida Atlantic Owls,0,-0.40000000000000036,0-0,-4.8,83,0,20230830055751,American,1-0,-5.2,83,0,20230905092550,American
2022,Florida State Seminoles,0,0.40000000000000036,1-0,7.9,32,0,20220901143719,ACC,2-0,8.3,32,0,20220906040030,ACC
2021,Georgia Bulldogs,0,0.3000000000000007,0-0,20.3,5,0,20210904141614,SEC,1-0,20.6,5,0,20210908031230,SEC
2023,Georgia Bulldogs,0,-1.9000000000000021,0-0,26.6,3,0,20230830055751,SEC,1-0,24.7,3,0,20230905092550,SEC
2023,Iowa State Cyclones,0,-0.7000000000000002,0-0,7,41,0,20230830055751,Big 12,1-0,6.3,41,0,20230905092550,Big 12
2022,Liberty Flames,0,0.09999999999999987,0-0,-1.9,78,0,20220901143719,FBS Indep.,1-0,-1.8,78,0,20220906040030,FBS Indep.
2021,Maryland Terrapins,0,1.1,0-0,1,64,0,20210904141614,Big Ten,1-0,2.1,64,0,20210908031230,Big Ten
2022,Maryland Terrapins,0,0.5,0-0,6.9,37,0,20220901143719,Big Ten,1-0,7.4,37,0,20220906040030,Big Ten
2022,Miami (OH) RedHawks,0,0,0-0,-7,97,0,20220901143719,MAC,0-1,-7,97,0,20220906040030,MAC
2022,Miami Hurricanes,0,0.9000000000000004,0-0,14.5,9,0,20220901143719,ACC,1-0,15.4,9,0,20220906040030,ACC
2022,Michigan State Spartans,0,0.09999999999999964,0-0,12.6,15,0,20220901143719,Big Ten,1-0,12.7,15,0,20220906040030,Big Ten
2021,Minnesota Golden Gophers,0,0,0-1,5.2,40,1,20210904141614,Big Ten,0-1,5.2,40,1,20210908031230,Big Ten
2023,NC State Wolfpack,0,-0.39999999999999947,0-0,7.1,40,0,20230830055751,ACC,1-0,6.7,40,0,20230905092550,ACC
2021,Northwestern Wildcats,0,0,0-1,3.7,48,15,20210904141614,Big Ten,0-1,3.7,48,15,20210908031230,Big Ten
2022,Ole Miss Rebels,0,0.09999999999999964,0-0,12.4,17,0,20220901143719,SEC,1-0,12.5,17,0,20220906040030,SEC
2022,Penn State Nittany Lions,0,-0.09999999999999964,0-0,12.6,16,0,20220901143719,Big Ten,1-0,12.5,16,0,20220906040030,Big Ten
2021,Purdue Boilermakers,0,0.10000000000000009,0-0,2.4,59,2,20210904141614,Big Ten,1-0,2.5,59,2,20210908031230,Big Ten
2022,South Carolina Gamecocks,0,0.3000000000000007,0-0,5.1,45,0,20220901143719,SEC,1-0,5.4,45,0,20220906040030,SEC
2021,Texas A&M Aggies,0,-0.3999999999999986,0-0,17,6,0,20210904141614,SEC,1-0,16.6,6,0,20210908031230,SEC
2022,Texas Longhorns,0,0.5000000000000018,0-0,15.6,7,0,20220901143719,Big 12,1-0,16.1,7,0,20220906040030,Big 12
2021,Texas State Bobcats,0,-0.29999999999999893,0-0,-8.4,102,1,20210904141614,Sun Belt,0-1,-8.7,102,1,20210908031230,Sun Belt
2023,UTSA Roadrunners,0,-0.30000000000000027,0-0,2.2,55,0,20230830055751,American,0-1,1.9,55,0,20230905092550,American
2023,Virginia Tech Hokies,0,-0.3,0-0,0.6,62,0,20230830055751,ACC,1-0,0.3,62,0,20230905092550,ACC
2021,Air Force Falcons,-1,-1.5,0-0,-9.5,106,3,20210904141614,Mountain West,1-0,-11,107,2,20210908031230,Mountain West
2022,Akron Zips,-1,-2.1000000000000014,0-0,-16.9,125,0,20220901143719,MAC,1-0,-19,126,0,20220906040030,MAC
2022,Appalachian State Mountaineers,-1,0,0-0,2.6,55,0,20220901143719,Sun Belt,0-1,2.6,56,0,20220906040030,Sun Belt
2021,Arizona State Sun Devils,-1,0,1-0,5.6,38,9,20210904141614,Pac-12,1-0,5.6,39,10,20210908031230,Pac-12
2023,Arizona Wildcats,-1,-0.20000000000000018,0-0,3.2,52,0,20230830055751,Pac-12,1-0,3,53,1,20230905092550,Pac-12
2022,Arkansas Razorbacks,-1,0.8000000000000007,0-0,9.7,25,0,20220901143719,SEC,1-0,10.5,26,0,20220906040030,SEC
2023,Army Black Knights,-1,-1.7000000000000002,0-0,-7.7,101,1,20230830055751,FBS Indep.,0-1,-9.4,102,2,20230905092550,FBS Indep.
2021,Boise State Broncos,-1,0.09999999999999998,0-1,0.6,66,1,20210904141614,Mountain West,0-1,0.7,67,0,20210908031230,Mountain West
2021,Coastal Carolina Chanticleers,-1,-0.40000000000000036,1-0,4.5,43,15,20210904141614,Sun Belt,1-0,4.1,44,14,20210908031230,Sun Belt
2021,Colorado Buffaloes,-1,0,1-0,-0.7,71,8,20210904141614,Pac-12,1-0,-0.7,72,9,20210908031230,Pac-12
2021,Duke Blue Devils,-1,0,0-1,-4.1,83,4,20210904141614,ACC,0-1,-4.1,84,3,20210908031230,ACC
2021,Michigan State Spartans,-1,0,1-0,10.3,21,16,20210904141614,Big Ten,1-0,10.3,22,15,20210908031230,Big Ten
2023,Michigan Wolverines,-1,-0.10000000000000142,0-0,20.6,6,0,20230830055751,Big Ten,1-0,20.5,7,1,20230905092550,Big Ten
2023,Middle Tennessee Blue Raiders,-1,-1.1999999999999993,0-0,-8.9,105,1,20230830055751,CUSA,0-1,-10.1,106,0,20230905092550,CUSA
2021,NC State Wolfpack,-1,0,1-0,11.5,17,18,20210904141614,ACC,1-0,11.5,18,17,20210908031230,ACC
2022,Notre Dame Fighting Irish,-1,0.10000000000000142,0-0,17.7,5,0,20220901143719,FBS Indep.,0-1,17.8,6,0,20220906040030,FBS Indep.
2022,Ohio State Buckeyes,-1,-0.3000000000000007,0-0,28.3,2,0,20220901143719,Big Ten,1-0,28,3,0,20220906040030,Big Ten
2023,Ohio State Buckeyes,-1,-2.1999999999999993,0-0,31.4,1,0,20230830055751,Big Ten,1-0,29.2,2,1,20230905092550,Big Ten
2021,Oklahoma Sooners,-1,-4.199999999999999,0-0,25.3,3,0,20210904141614,Big 12,1-0,21.1,4,1,20210908031230,Big 12
2021,Oregon State Beavers,-1,-0.6000000000000001,0-0,-2.6,79,0,20210904141614,Pac-12,0-1,-3.2,80,1,20210908031230,Pac-12
2023,Penn State Nittany Lions,-1,1.1999999999999993,0-0,18.2,10,1,20230830055751,Big Ten,1-0,19.4,11,2,20230905092550,Big Ten
2021,TCU Horned Frogs,-1,-0.10000000000000142,0-0,8.8,28,3,20210904141614,Big 12,1-0,8.7,29,4,20210908031230,Big 12
2023,Texas A&M Aggies,-1,1.9000000000000004,0-0,12.4,17,0,20230830055751,SEC,1-0,14.3,18,1,20230905092550,SEC
2022,Troy Trojans,-1,-0.6000000000000001,0-0,-2,80,0,20220901143719,Sun Belt,0-1,-2.6,81,0,20220906040030,Sun Belt
2023,Tulsa Golden Hurricane,-1,-0.39999999999999947,0-0,-7.2,95,1,20230830055751,American,1-0,-7.6,96,2,20230905092550,American
2021,UConn Huskies,-1,-1.5,0-1,-27.1,129,3,20210904141614,FBS Indep.,0-2,-28.6,130,4,20210908031230,FBS Indep.
2023,UNLV Rebels,-1,-1.0999999999999996,0-0,-10.3,115,0,20230830055751,Mountain West,1-0,-11.4,116,1,20230905092550,Mountain West
2021,USC Trojans,-1,0.20000000000000107,0-0,10.6,20,1,20210904141614,Pac-12,1-0,10.8,21,2,20210908031230,Pac-12
2021,Wake Forest Demon Deacons,-1,0,1-0,3.9,46,1,20210904141614,ACC,1-0,3.9,47,0,20210908031230,ACC
2022,West Virginia Mountaineers,-1,0.7999999999999998,0-0,3.2,51,0,20220901143719,Big 12,0-1,4,52,0,20220906040030,Big 12
2021,Western Kentucky Hilltoppers,-1,-0.3000000000000007,1-0,-4.6,87,20,20210904141614,C-USA,1-0,-4.9,88,19,20210908031230,C-USA
2022,Western Michigan Broncos,-1,0,0-0,-7.7,100,0,20220901143719,MAC,0-1,-7.7,101,0,20220906040030,MAC
2023,Florida International Panthers,-2,-1.3000000000000007,0-1,-16.8,131,2,20230830055751,CUSA,1-1,-18.1,133,0,20230905092550,CUSA
2022,Georgia State Panthers,-2,-0.5,0-0,-4.9,90,0,20220901143719,Sun Belt,0-1,-5.4,92,0,20220906040030,Sun Belt
2022,Georgia Tech Yellow Jackets,-2,0,0-0,-0.4,69,0,20220901143719,ACC,0-0,-0.4,71,0,20220906040030,ACC
2023,Illinois Fighting Illini,-2,-1.6000000000000005,0-0,6.2,45,0,20230830055751,Big Ten,1-0,4.6,47,2,20230905092550,Big Ten
2023,Kansas Jayhawks,-2,-0.6,0-0,-0,64,0,20230830055751,Big 12,1-0,-0.6,66,2,20230905092550,Big 12
2022,Kentucky Wildcats,-2,0.09999999999999964,0-0,12,18,0,20220901143719,SEC,1-0,12.1,20,0,20220906040030,SEC
